Date,TCS,Reliance,HDFC,SBI
2017-07-07,1038.0863037109375,728.953674,817.825439,263.642548
2017-07-10,1083.9373779296875,729.784729,822.313904,268.772308
2017-07-11,1102.1220703125,730.518005,824.300598,266.889832
2017-07-12,1085.9407958984375,738.706299,824.717529,270.748932
2017-07-13,1089.03466796875,749.488342,825.845825,271.784302
2017-07-14,1067.244384765625,755.224792,824.079834,274.466888
2017-07-17,1066.353759765625,764.088074,825.257141,275.784607
2017-07-18,1072.096435546875,748.405029,825.845825,273.9021
2017-07-19,1090.459228515625,754.830872,830.138,276.066925
2017-07-20,1088.27783203125,752.83667,839.262024,273.855042
2017-07-21,1108.977783203125,780.460571,835.411316,273.572693
2017-07-24,1129.7357177734375,795.355774,851.132996,277.24353
2017-07-25,1147.949462890625,788.905334,853.36499,278.702454
2017-07-26,1141.0303955078125,799.048828,857.240295,278.420044
2017-07-27,1107.8616943359375,785.286133,877.891968,280.820282
2017-07-28,1109.022216796875,785.11377,872.422424,281.526184
2017-07-31,1112.3704833984375,795.331116,875.31665,294.138885
2017-08-01,1116.7674560546875,789.619202,881.595459,290.844513
2017-08-02,1104.3348388671875,802.224854,878.873047,289.62088
2017-08-03,1111.3212890625,812.516052,873.133667,282.890991
2017-08-04,1126.209228515625,798.753357,878.186279,287.31485
2017-08-07,1117.57080078125,795.897461,877.352295,292.915253
2017-08-08,1117.392333984375,789.102295,872.128052,285.808868
2017-08-09,1121.3880615234375,787.255798,865.530273,284.538116
2017-08-10,1121.1422119140625,780.140503,863.568176,279.267212
2017-08-11,1114.2679443359375,761.379883,857.976135,263.689575
2017-08-14,1102.3704833984375,774.576416,861.973938,261.854187
2017-08-16,1112.6160888671875,771.154114,873.771423,266.466309
2017-08-17,1109.624755859375,771.646545,865.996338,264.34848
2017-08-18,1122.1915283203125,775.733521,859.496765,262.324829
2017-08-21,1128.887451171875,770.317078,855.106384,258.512756
2017-08-22,1114.9373779296875,768.175049,856.970459,257.806824
2017-08-23,1111.3212890625,779.007996,869.454651,262.607178
2017-08-24,1114.513671875,772.114319,864.573792,263.83078
2017-08-28,1110.361572265625,771.375732,864.451172,262.936615
